"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","910","TC-017 Checkout blocked when required fields are missing","chromium","Mon Apr 13 09:52:38 UTC 2026","passed","Mon Apr 13 09:52:39 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","379","TC-005 Locked-out user behaviour","chromium","Mon Apr 13 09:52:29 UTC 2026","passed","Mon Apr 13 09:52:30 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","494","TC-010 Sorting by Price Low-High and High-Low","chromium","Mon Apr 13 09:52:36 UTC 2026","passed","Mon Apr 13 09:52:36 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","5431","TC-019 Performance glitch user - Login with smart wait","chromium","Mon Apr 13 09:52:40 UTC 2026","passed","Mon Apr 13 09:52:45 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","1473","TC-011 Problem user visual regression - Detect broken images","chromium","Mon Apr 13 09:52:36 UTC 2026","passed","Mon Apr 13 09:52:38 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","478","TC-009 Sorting by Name A-Z and Z-A","chromium","Mon Apr 13 09:52:35 UTC 2026","passed","Mon Apr 13 09:52:36 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","476","TC-008 Product listing loads correctly","chromium","Mon Apr 13 09:52:35 UTC 2026","passed","Mon Apr 13 09:52:35 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","594","TC-013 Add multiple items and verify all appear in cart","chromium","Mon Apr 13 09:52:33 UTC 2026","passed","Mon Apr 13 09:52:33 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","1336","TC-006 Logout behaviour","chromium","Mon Apr 13 09:52:30 UTC 2026","passed","Mon Apr 13 09:52:31 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","975","TC-007 Session persistence check","chromium","Mon Apr 13 09:52:31 UTC 2026","passed","Mon Apr 13 09:52:32 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","496","TC-012 Add a single item and verify cart badge updates","chromium","Mon Apr 13 09:52:32 UTC 2026","passed","Mon Apr 13 09:52:33 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","369","TC-003 Login failure with empty fields","chromium","Mon Apr 13 09:52:28 UTC 2026","passed","Mon Apr 13 09:52:29 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","569","TC-020 Error user - Verify failing actions","chromium","Mon Apr 13 09:52:45 UTC 2026","passed","Mon Apr 13 09:52:46 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","532","TC-014 Remove an item from the cart and verify cart state","chromium","Mon Apr 13 09:52:33 UTC 2026","passed","Mon Apr 13 09:52:34 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","627","TC-001 Successful login with valid credentials","chromium","Mon Apr 13 09:52:27 UTC 2026","passed","Mon Apr 13 09:52:27 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","638","TC-018 Verify order summary math for multiple items","chromium","Mon Apr 13 09:52:39 UTC 2026","passed","Mon Apr 13 09:52:40 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","681","TC-016 Complete a full purchase with valid details","chromium","Mon Apr 13 09:52:38 UTC 2026","passed","Mon Apr 13 09:52:38 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","1052","TC-015 Cart persists across page navigation","chromium","Mon Apr 13 09:52:34 UTC 2026","passed","Mon Apr 13 09:52:35 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","386","TC-002 Login failure with invalid credentials","chromium","Mon Apr 13 09:52:28 UTC 2026","passed","Mon Apr 13 09:52:28 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","382","TC-004 Login failure with SQL injection attempt","chromium","Mon Apr 13 09:52:29 UTC 2026","passed","Mon Apr 13 09:52:29 UTC 2026","Authentication Scenarios","auth.spec.js","",""
